iter,particles,cmode,c1_start,c1_end,c2_start,c2_end,mean_error,std_error,mean_runtime,std_runtime
100,20,0,1.5,1.5,0.5,0.5,0.0562695720425469,3.6071618324031513e-06,664.5767834822337,42.859162709437726
100,20,0,2.0,2.0,0.5,0.5,0.056275493193878194,1.0129274614632674e-05,659.9895657062531,76.10548350646732
100,20,2,2.0,1.0,0.5,1.5,0.056290664846609474,2.0572013543487348e-05,606.764669974645,88.62983836537231
100,20,0,1.5,1.5,1.0,1.0,0.0563050030517833,2.0482424305635984e-05,669.718865386645,43.73562088468549
100,20,1,2.0,1.0,0.5,1.5,0.05631426699181478,2.715536315199469e-05,625.0965452591578,75.99187205733993
100,10,0,1.5,1.5,0.5,0.5,0.05631446733149017,4.0490487687213537e-05,312.72833546002704,42.519082211366054
100,20,2,1.5,0.5,0.5,1.5,0.05631467382079921,3.570473439176285e-05,488.3242363532384,72.10841849485828
100,10,0,2.0,2.0,0.5,0.5,0.0563275896811376,3.206124471234831e-05,324.2514558315277,32.438104517282504
100,20,2,2.5,0.5,0.5,1.5,0.05633087108937038,3.0258376972515684e-05,599.752256266276,98.84933060324805
100,20,0,2.5,2.5,0.5,0.5,0.056330921381848316,2.238002929141767e-05,636.2119705915451,64.82826233064894
100,10,2,2.0,1.0,0.5,1.5,0.056332118564319585,3.36163779671393e-05,325.3125415643056,49.58399781719241
100,20,2,2.5,1.5,0.5,1.5,0.05633627378482244,2.467074434092866e-05,609.1004267613093,97.87293331996587
50,20,0,1.5,1.5,0.5,0.5,0.0563423701708753,2.3924072050482368e-05,322.50224068959557,37.776165080854256
100,20,0,2.0,2.0,1.0,1.0,0.05634825367213644,2.032891616291345e-05,644.0819816271464,74.67322537706978
100,20,1,1.5,0.5,0.5,1.5,0.0563508826171274,2.9796479090377464e-05,573.1765763839086,71.56586497379031
100,20,1,2.5,0.5,0.5,1.5,0.05635190301382075,2.0633597965886297e-05,615.259422771136,91.0238649669172
100,10,0,1.5,1.5,1.0,1.0,0.056359658614091715,2.8826963841358124e-05,317.54082063039147,42.22999098344883
100,20,1,2.5,1.5,0.5,1.5,0.05636017575345889,1.9061642842753356e-05,609.4785222450893,89.01997204572956
100,10,1,2.0,1.0,0.5,1.5,0.056360306717508184,2.7577824178975197e-05,325.27951651414236,53.83894998544564
100,10,2,2.5,1.5,0.5,1.5,0.05636065967081103,2.045853728074672e-05,327.05889236132305,50.39735108178491
50,20,0,2.0,2.0,0.5,0.5,0.05636076275746141,2.3167627612775298e-05,321.0208902756373,44.30085652638847
100,10,2,2.5,0.5,0.5,1.5,0.05636275351896877,2.4879062838560046e-05,331.4874264717102,56.31262185578368
100,20,2,1.5,0.5,0.5,2.5,0.05636843802469775,2.2132060849301618e-05,613.2304653406143,77.04707975628659
100,20,2,2.0,1.0,0.5,2.5,0.05636976825361427,1.7545571923586017e-05,610.9880765914917,89.34497142040303
100,10,1,2.5,1.5,0.5,1.5,0.05637097112194058,2.2235377791186067e-05,330.9552086353302,45.60076812424209
100,10,0,2.0,2.0,1.0,1.0,0.056371079498445616,2.3367912081043875e-05,325.11425851980846,34.38595543616104
50,10,0,1.5,1.5,0.5,0.5,0.056371576933426974,2.317501227465439e-05,160.77937791347503,19.84415878397284
100,10,1,1.5,0.5,0.5,1.5,0.05637179344966468,2.523500647214916e-05,323.0988477865855,45.606275785145684
100,10,2,1.5,0.5,0.5,1.5,0.05637183156722622,2.1187526454349213e-05,317.5688300212224,48.61076821073536
100,20,2,2.5,0.5,0.5,2.5,0.056373136441363464,2.2272392318210348e-05,623.4440577824911,100.60025366980634
100,10,1,2.5,0.5,0.5,1.5,0.05637336627907966,1.72987842264712e-05,336.4270059744517,56.71521654608735
100,10,0,2.5,2.5,0.5,0.5,0.0563770716682935,2.1134591465470247e-05,321.5351043224335,39.5046459691835
100,10,2,1.5,0.5,0.5,2.5,0.056381243292577626,1.8057221665572003e-05,334.5580416202545,46.009576900166486
100,20,0,1.5,1.5,1.5,1.5,0.05638571861364297,1.724177732511656e-05,693.016463915507,23.454099318842843
100,20,2,1.5,0.5,1.0,2.0,0.056386201817745146,2.3543553984679644e-05,605.8432797273,75.91703895122598
100,20,1,1.5,0.5,1.0,2.0,0.05638625423973183,1.9998568437615463e-05,600.3345565080642,89.33168810549891
100,10,2,2.5,0.5,0.5,2.5,0.056389625225395014,2.294885537811288e-05,336.35984586874645,48.691817193701006
50,10,0,2.0,2.0,0.5,0.5,0.05639028876268214,2.1059712114018214e-05,155.78873760700225,25.45499053350959
50,20,0,2.5,2.5,0.5,0.5,0.05639088039699545,1.9773026317502172e-05,321.12959927717844,37.161631293889954
100,10,2,2.0,1.0,0.5,2.5,0.056391943336001546,1.673650358009307e-05,328.6339930613836,48.56686818354251
100,20,2,2.5,0.5,1.0,2.0,0.05639213944820772,2.1772016111954372e-05,624.386755291621,84.94249678483759
100,20,2,2.0,1.0,1.0,2.0,0.056394185302725955,2.5394403955146264e-05,610.8915974934896,91.42350513294302
50,20,2,2.5,0.5,0.5,1.5,0.05639657389503276,1.950090793505414e-05,367.8187030235926,23.78017627541819
100,20,0,2.5,2.5,1.0,1.0,0.056396992976841566,2.1041977399439762e-05,650.8943078835805,39.62323539811707
100,10,0,1.5,1.5,1.5,1.5,0.05639763302444197,2.6466267175818965e-05,308.76740299860637,49.80116860143885
100,20,1,1.5,0.5,0.5,2.5,0.056398481175537835,1.7207184274661444e-05,612.7348133087158,70.57118379760286
100,20,1,2.0,1.0,1.0,2.0,0.056399710996066776,2.0032025606837262e-05,601.4348233143488,105.3843356114692
50,20,2,2.0,1.0,0.5,1.5,0.05639995188011572,2.1729863008605366e-05,336.5602417469025,52.97995202261801
50,20,2,1.5,0.5,0.5,1.5,0.05640186882270946,2.3721631779199613e-05,341.9374625523885,43.056323189568154
100,20,2,2.5,1.5,0.5,2.5,0.05640235433747997,2.2114216428919686e-05,619.213151884079,80.43062618416967
50,20,1,1.5,0.5,0.5,1.5,0.05640253247738911,2.9656337074071924e-05,338.0878168503443,50.689007078950745
100,20,2,2.5,1.5,1.0,2.0,0.05640342445272925,2.957319866689956e-05,629.0760969082514,65.22481144631276
50,20,0,1.5,1.5,1.0,1.0,0.05640397804934989,1.9734683173985588e-05,327.9831932067871,37.3636346593812
50,10,2,1.5,0.5,0.5,1.5,0.05640541814268175,2.132848323824219e-05,185.00771562258402,9.372878726102398
100,20,1,2.0,1.0,0.5,2.5,0.05640603615117215,1.8422918671097576e-05,615.1678032239278,85.91895388265371
50,10,0,2.5,2.5,0.5,0.5,0.05640614316495987,2.5392953271368496e-05,145.9486099799474,22.17685530954905
100,10,2,2.0,1.0,1.0,2.0,0.05640728531271113,2.2000908606576577e-05,327.83560313383737,42.639427383059804
50,20,2,2.5,1.5,0.5,1.5,0.0564085533134686,2.118324578269575e-05,337.4536524852117,59.90771110972244
100,10,0,2.5,2.5,1.0,1.0,0.056411133611701574,3.360902223621635e-05,317.7540152470271,37.106331864787215
