iter,particles,cmode,c1_start,c1_end,c2_start,c2_end,mean_error,std_error,mean_runtime,std_runtime
100,20,0,1.5,1.5,0.5,0.5,0.0562695720425469,3.6071618324031513e-06,664.5767834822337,42.859162709437726
100,20,0,2.0,2.0,0.5,0.5,0.056275493193878194,1.0129274614632674e-05,659.9895657062531,76.10548350646732
100,20,2,2.0,1.0,0.5,1.5,0.056290664846609474,2.0572013543487348e-05,606.764669974645,88.62983836537231
100,20,0,1.5,1.5,1.0,1.0,0.0563050030517833,2.0482424305635984e-05,669.718865386645,43.73562088468549
100,20,1,2.0,1.0,0.5,1.5,0.05631426699181478,2.715536315199469e-05,625.0965452591578,75.99187205733993
100,10,0,1.5,1.5,0.5,0.5,0.05631446733149017,4.0490487687213537e-05,312.72833546002704,42.519082211366054
100,20,2,1.5,0.5,0.5,1.5,0.05631467382079921,3.570473439176285e-05,488.3242363532384,72.10841849485828
100,10,0,2.0,2.0,0.5,0.5,0.0563275896811376,3.206124471234831e-05,324.2514558315277,32.438104517282504
100,20,2,2.5,0.5,0.5,1.5,0.05633087108937038,3.0258376972515684e-05,599.752256266276,98.84933060324805
100,20,0,2.5,2.5,0.5,0.5,0.056330921381848316,2.238002929141767e-05,636.2119705915451,64.82826233064894
