[2025-05-09 04:05:24] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,1.5]_seed=178888
[2025-05-09 04:05:24] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 100, 'particles': 10, 'cmode': 2, 'c1_start': 2.5, 'c1_end': 0.5, 'c2_start': 0.5, 'c2_end': 1.5, 'seed': 178888, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 04:05:24] Starting experiment well=RO_31A_facies=7_iter=100_p=10_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,1.5]_seed=178888'], 'id': 'well=RO_31A_facies=7_iter=100_p=10_cmode=exponential_c1=[2.5,0.5]_c2=[0.5,1.5]_seed=178888'}
[2025-05-09 04:05:24] Using random seed: 178888
[2025-05-09 04:05:28] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 04:05:28] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 04:05:28] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 04:05:28] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 04:05:28] Data range: 0 to 80
[2025-05-09 04:05:28] Best of swarm: 2.0723745381290115
[2025-05-09 04:05:28] Best of swarm: 3.4141635278936947e-10
[2025-05-09 04:05:29] Best of swarm: 1.1227862311392785e-09
[2025-05-09 04:05:30] Best of swarm: 4.702954737597278e-09
[2025-05-09 04:05:30] Best of swarm: 5.185708381612763e-13
[2025-05-09 04:05:32] Best of swarm: 8.886024943611388e-08
[2025-05-09 04:05:32] Best of swarm: 1.8046548578892858
[2025-05-09 04:05:32] Best of swarm: 3.788522162944812e-08
[2025-05-09 04:05:33] Best of swarm: 8.079282459791967e-07
[2025-05-09 04:05:34] Best of swarm: 2.9388749673030978e-08
[2025-05-09 04:05:34] Best of swarm: 6.04567898451333e-10
