[2025-05-09 03:11:54] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=linear_c1=[2.5,1.5]_c2=[1.0,2.0]_seed=666001
[2025-05-09 03:11:54] Parameters: {'well_name': 'RO_31A', 'facies': 7, 'iterations': 50, 'particles': 20, 'cmode': 1, 'c1_start': 2.5, 'c1_end': 1.5, 'c2_start': 1.0, 'c2_end': 2.0, 'seed': 666001, 'runtime': None, 'best_error': None, 'log_buffer': ['[2025-05-09 03:11:54] Starting experiment well=RO_31A_facies=7_iter=50_p=20_cmode=linear_c1=[2.5,1.5]_c2=[1.0,2.0]_seed=666001'], 'id': 'well=RO_31A_facies=7_iter=50_p=20_cmode=linear_c1=[2.5,1.5]_c2=[1.0,2.0]_seed=666001'}
[2025-05-09 03:11:54] Using random seed: 666001
[2025-05-09 03:11:57] HORIZONTE: (2943.6, 3089.8)
[2025-05-09 03:11:57] TOPO-1 :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 03:11:57] TOPO :: DEPT: 2943.6,Phi: 0.1296, Vp: 2.667
[2025-05-09 03:11:57] base :: DEPT: 3089.8,Phi: 0.1296, Vp: 3.0472
[2025-05-09 03:11:57] Data range: 0 to 80
[2025-05-09 03:11:58] Best of swarm: 2.0723745381290115
[2025-05-09 03:11:58] Best of swarm: 2.8657203523608937e-06
[2025-05-09 03:11:59] Best of swarm: 1.5200505101978139e-06
[2025-05-09 03:11:59] Best of swarm: 7.26118323534755e-08
[2025-05-09 03:12:00] Best of swarm: 1.513302541325982e-08
[2025-05-09 03:12:02] Best of swarm: 4.79938165256538e-06
[2025-05-09 03:12:02] Best of swarm: 1.8046548578892858
[2025-05-09 03:12:02] Best of swarm: 1.8335264420382031e-07
[2025-05-09 03:12:03] Best of swarm: 7.1897031724667135e-06
[2025-05-09 03:12:04] Best of swarm: 1.0778062715373233e-07
[2025-05-09 03:12:04] Best of swarm: 2.8186158354293397e-08
[2025-05-09 03:12:06] Best of swarm: 2.6632188513865194e-06
[2025-05-09 03:12:06] Best of swarm: 2.4157690022609932
[2025-05-09 03:12:06] Best of swarm: 0.0009993144581792852
[2025-05-09 03:12:07] Best of swarm: 0.0009993588427649543
[2025-05-09 03:12:08] Best of swarm: 0.0009991382087585986
[2025-05-09 03:12:08] Best of swarm: 0.0009992487627967371
[2025-05-09 03:12:10] Best of swarm: 0.0009993137733404444
[2025-05-09 03:12:10] Best of swarm: 1.4679125982677055
[2025-05-09 03:12:11] Best of swarm: 5.64280667868053e-06
[2025-05-09 03:12:11] Best of swarm: 0.00011457336656138631
[2025-05-09 03:12:12] Best of swarm: 0.0001536197818617544
[2025-05-09 03:12:13] Best of swarm: 1.1345995150252826e-07
[2025-05-09 03:12:14] Best of swarm: 4.585376490168023e-09
[2025-05-09 03:12:15] Best of swarm: 1.4428200101336806
[2025-05-09 03:12:15] Best of swarm: 1.5387239487615767e-05
[2025-05-09 03:12:16] Best of swarm: 0.00044547986712706425
[2025-05-09 03:12:16] Best of swarm: 7.836450173808767e-07
[2025-05-09 03:12:17] Best of swarm: 6.308766880360031e-05
[2025-05-09 03:12:19] Best of swarm: 1.5715667106901075e-07
[2025-05-09 03:12:19] Best of swarm: 1.9273058916602177
[2025-05-09 03:12:19] Best of swarm: 1.7857222570610773e-08
[2025-05-09 03:12:20] Best of swarm: 1.0710405280823516e-05
[2025-05-09 03:12:21] Best of swarm: 1.1345307569022352e-07
[2025-05-09 03:12:21] Best of swarm: 1.992655169885736e-09
[2025-05-09 03:12:23] Best of swarm: 2.8624342485060212e-08
[2025-05-09 03:12:23] Best of swarm: 2.1370768476856217
[2025-05-09 03:12:23] Best of swarm: 4.727028244622228e-09
[2025-05-09 03:12:24] Best of swarm: 9.184550030877562e-09
[2025-05-09 03:12:25] Best of swarm: 1.9680705668869502e-06
[2025-05-09 03:12:25] Best of swarm: 1.6932956038708394e-06
[2025-05-09 03:12:27] Best of swarm: 7.829450199960662e-06
[2025-05-09 03:12:27] Best of swarm: 2.3121465957113188
[2025-05-09 03:12:28] Best of swarm: 4.3600138764502324e-06
[2025-05-09 03:12:28] Best of swarm: 4.357082664744361e-06
[2025-05-09 03:12:29] Best of swarm: 2.9758825792322256e-10
[2025-05-09 03:12:30] Best of swarm: 4.364354407649135e-06
[2025-05-09 03:12:31] Best of swarm: 4.339033453796521e-06
[2025-05-09 03:12:32] Best of swarm: 2.368134509831766
[2025-05-09 03:12:32] Best of swarm: 0.0002628268486165779
[2025-05-09 03:12:33] Best of swarm: 0.0002628496111464733
[2025-05-09 03:12:33] Best of swarm: 0.0002628285587863548
